Obs,experiment,year,treatment,plot,subplot_id,id,sampling,height_25,height_46,height_67
574,DN14,2014,sparse,32,32161,RIL_037,unknown,8.66110140602463,36.8640702291617,40.8270354192983
575,DN14,2014,sparse,32,32162,RIL_004,unknown,8.06111299357138,37.4938307619389,42.1633220749299
576,DN14,2014,sparse,32,32163,RIL_172,unknown,11.3928870246545,43.4298852244781,46.1128494366375
577,DN14,2014,sparse,32,32164,RIL_013,unknown,6.7507260719405,35.9900735220749,38.864973592566
578,DN14,2014,sparse,32,32165,RIL_143,unknown,8.15292374936057,44.6632700265428,47.9245266646584
579,DN14,2014,sparse,32,32166,RIL_049,unknown,8.7877331383688,35.8758044991789,38.0774553666342
580,DN14,2014,sparse,32,32167,B100,unknown,6.52903470829544,46.4245757585639,54.4577133197578
581,DN14,2014,sparse,32,32168,RIL_153,unknown,7.67687889417924,42.3384118241426,37.7175131663594
582,DN14,2014,sparse,32,32169,B100,unknown,6.52903470829544,46.4245757585639,54.4577133197578
583,DN14,2014,sparse,32,32170,RIL_207,unknown,6.86116703039364,43.6087963816194,44.0312446776146
584,DN14,2014,sparse,32,32171,RIL_015,unknown,5.21000232805732,19.0480991964726,21.7126520169695
585,DN14,2014,sparse,32,32172,RIL_146,unknown,8.04438226449414,44.2823571167984,42.0520066894295
586,DN14,2014,sparse,32,32173,RIL_041,unknown,6.21446330726648,33.2232657919831,35.8145061148734
587,DN14,2014,sparse,32,32174,RIL_154,unknown,5.85885427107052,24.0322128261121,25.4134753889191
588,DN14,2014,sparse,32,32175,RIL_176,unknown,4.96888194378725,26.577058880958,27.4547447117129
589,DN14,2014,sparse,32,32176,RIL_063,unknown,NA,33.1194509410595,38.5396880381578
590,DN14,2014,sparse,32,32177,RIL_114,unknown,6.32085657224687,37.9626764162399,42.6060415415538
591,DN14,2014,sparse,32,32178,RIL_182,unknown,6.4515359980638,52.7001135906874,51.7911541554378
592,DN14,2014,sparse,32,32179,A10,unknown,NA,16.0016399192408,NA
